Date;rent_CH5YRetCHF_Acum;DE5YRetAcu;CH5YRetAcuCHF;ES5YRetAcu
16/05/2014;16.65733973;17.15993699;11.16476289;2.718621012
23/05/2014;16.33764429;17.07952711;10.90417677;1.98388636
30/05/2014;16.55631863;17.28499407;11.08498287;3.039303761
06/06/2014;16.60324428;17.41777886;11.12441;5.500564743
13/06/2014;16.31485379;17.16252926;10.88851559;4.975741954
20/06/2014;16.40166643;17.17598895;10.95916693;4.089679446
27/06/2014;16.24007895;17.33151946;10.82489525;4.997946859
04/07/2014;16.46763616;17.53588275;11.01148702;4.893248541
11/07/2014;16.58755185;17.76611973;11.10934408;4.058513589
18/07/2014;17.01124991;17.71677247;11.46201329;5.546883522
25/07/2014;16.89144671;17.77165676;11.36249353;6.375712418
01/08/2014;16.84435919;17.91198069;11.32389295;6.020365697
08/08/2014;16.89350554;18.15071366;11.36428115;5.826531559
15/08/2014;16.60195089;18.48482709;11.1187287;7.484622387
22/08/2014;16.29360195;18.12923499;10.86264184;7.718978646
29/08/2014;16.51481864;18.41197119;11.04553469;7.608453777
05/09/2014;16.70659904;18.31550715;11.20559643;8.423464518
12/09/2014;16.70716345;18.06382016;11.20605329;6.366603002
19/09/2014;16.86949924;18.3356922;11.34234777;7.84246739
26/09/2014;16.76873652;18.46795006;11.25918583;7.376284462
03/10/2014;16.81388441;18.47643399;11.2966333;7.859077939
10/10/2014;16.45869706;18.55646725;11.00175674;7.934292697
17/10/2014;16.30125621;18.49981616;10.87248939;6.907343101
24/10/2014;16.36359261;18.56894887;10.92414452;6.894311134
31/10/2014;16.64472252;18.7799611;11.15615121;6.569467784
07/11/2014;16.83714734;18.75616537;11.31492426;5.988680499
14/11/2014;17.34603278;18.73485611;11.73725318;6.081770965
21/11/2014;17.16777751;18.61030945;11.5869238;7.214363319
28/11/2014;17.17307245;18.63910794;11.59133053;7.25546322
05/12/2014;17.03299472;18.57656843;11.47404751;7.777399172
12/12/2014;16.94052229;18.94105709;11.39896353;5.220674095
19/12/2014;17.42535053;19.16734298;11.80692525;6.860824222
26/12/2014;17.33514679;19.19409042;11.73150562;7.368175531
02/01/2015;17.77495489;19.49865363;12.0997643;8.384281997
09/01/2015;18.24757738;19.48185291;12.48361334;6.300114038
16/01/2015;20.15150969;19.60828179;14.39673217;7.783322792
23/01/2015;20.74939474;19.52295273;15.0040751;8.551378463
30/01/2015;18.72624922;19.84440882;13.0385465;7.317912271
06/02/2015;18.7777488;19.82392995;13.08781109;7.619151432
13/02/2015;18.7254825;20.03439431;13.03870285;7.353278306
20/02/2015;18.97466514;20.14158264;13.27372915;8.417141759
